Date,Sales
01/2019,266
02/2019,145.9
03/2019,183.1
04/2019,119.3
05/2019,180.3
06/2019,168.5
07/2019,231.8
08/2019,224.5
09/2019,192.8
10/2019,122.9
11/2019,336.5
12/2019,185.9
01/2020,194.3
02/2020,149.5
03/2020,210.1
04/2020,273.3
05/2020,191.4
06/2020,287
07/2020,226
08/2020,303.6
09/2020,289.9
10/2020,421.6
11/2020,264.5
12/2020,342.3
01/2021,339.7
02/2021,440.4
03/2021,315.9
04/2021,439.3
05/2021,401.3
06/2021,437.4
07/2021,575.5
08/2021,407.6
09/2021,682
10/2021,475.3
11/2021,581.3
12/2021,646.9
